project,policy,dispatches,dispatches_per_day,idle_reserved_mod_h,p50_wait_all,p95_wait_all,p95_wait_w12,p95_wait_w3plus,max_wait_h,p95_wait_critical,p95_wait_high,p95_wait_medium,p95_wait_low,n_censored_never_dispatched,p95_censored_wait_h,max_censored_wait_h,max_convoy_depth,cohort_wait_h,stats
dark_factory,P0-current,1380,46.0,4423.7166070195035,36.78685265746381,416.40561881881285,210.84217738423078,487.8328388863664,697.956891212927,132.49099828199545,409.8202285121547,440.33555004325177,299.1101309703453,104,720.0,720.0,2,"{""3534"": 33.83, ""3535"": 6.64, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 258.44, ""2383"": 325.79, ""2357"": 7.3, ""2370"": 165.64}","{""park_installs"": 215, ""park_blocked_attempts"": 28844, ""park_cleared_used"": 58, ""restart_park_wipes"": 148, ""park_install_blocked"": 2}"
dark_factory,P1-no-parking,1437,47.9,0.0,39.57055544310146,377.3951331469086,207.34175775120622,486.3534292504787,719.9569258274635,154.23399638792833,336.61895781685183,384.19266818345886,382.8878377257453,52,720.0,720.0,0,"{""3534"": 64.93, ""3535"": 6.9, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 446.26, ""2383"": 404.83, ""2357"": 22.59, ""2370"": 202.01}","{""restart_park_wipes"": 148}"
dark_factory,P2-K5,1306,43.53333333333333,16858.309110558563,37.05600994345215,431.9600907249252,198.9113284992443,498.1411478742326,650.6873751764165,161.3668759212428,445.38904004472823,434.0078643563588,301.603603821237,151,720.0,720.0,5,"{""3534"": ""NEVER (waited 93h)"", ""3535"": ""NEVER (not eligible)"", ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 581.9, ""2383"": 327.11, ""2357"": 7.3, ""2370"": 74.83}","{""park_installs"": 814, ""park_blocked_attempts"": 71688, ""park_cleared_used"": 68, ""restart_park_wipes"": 148, ""park_install_blocked"": 220}"
dark_factory,P2-K5-B32,1312,43.733333333333334,15219.522038040823,36.50215919001235,420.00309684394153,235.2993903125657,526.1697265416715,719.2842292614778,159.50820665384663,435.4180368819831,492.9872833336326,263.81874887464795,151,720.0,720.0,4,"{""3534"": 23.81, ""3535"": 6.95, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 602.84, ""2383"": 253.77, ""2357"": 7.3, ""2370"": 82.76}","{""park_installs"": 793, ""park_budget_refusals"": 1034, ""park_blocked_attempts"": 55955, ""park_cleared_used"": 69, ""restart_park_wipes"": 148, ""park_install_blocked"": 769}"
dark_factory,P2-K24,1153,38.43333333333333,56515.602240339256,36.189509379996196,431.87709009468557,370.3381980203522,528.1658700985545,662.9114014924897,135.87385623706712,497.83352364957335,417.7123205411302,394.9791755266322,249,720.0,720.0,7,"{""3534"": ""NEVER (waited 93h)"", ""3535"": ""NEVER (not eligible)"", ""3538"": ""NEVER (not eligible)"", ""3076"": 10.03, ""3618"": 0.7, ""3060"": 581.9, ""2383"": 169.42, ""2357"": 7.53, ""2370"": 103.61}","{""park_installs"": 3296, ""park_install_blocked"": 6297, ""park_blocked_attempts"": 184393, ""park_cleared_used"": 101, ""restart_park_wipes"": 148}"
dark_factory,P2-K24-B32,1252,41.733333333333334,20999.675248594085,33.33569749113586,391.84813574069744,193.23934484831483,529.4023457872073,657.7269655077987,141.0191604579058,460.57706916905113,338.5652103252907,286.2191406456729,189,720.0,720.0,5,"{""3534"": ""NEVER (waited 93h)"", ""3535"": ""NEVER (not eligible)"", ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 581.9, ""2383"": 341.21, ""2357"": 7.3, ""2370"": 79.44}","{""park_installs"": 1098, ""park_budget_refusals"": 46654, ""park_blocked_attempts"": 101465, ""park_cleared_used"": 72, ""restart_park_wipes"": 148, ""park_install_blocked"": 45}"
dark_factory,P3-lease2h,1394,46.46666666666667,5424.158774735133,39.05867614203029,449.8251821255022,256.9707772354947,535.6713968816265,718.0094426759084,130.23429639126854,348.9355740096205,562.3807990821699,296.3609750729137,88,720.0,720.0,2,"{""3534"": 65.49, ""3535"": 1.13, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 462.09, ""2383"": 200.19, ""2357"": 22.43, ""2370"": 199.41}","{""park_installs"": 443, ""park_blocked_attempts"": 24771, ""park_cleared_lease_expired"": 290, ""restart_park_wipes"": 148, ""park_cleared_used"": 17}"
dark_factory,P3-lease8h,1384,46.13333333333333,4980.918196511202,35.61002207014296,413.5849324273863,199.28768134699928,509.7275579659538,715.3544702400102,132.49099828199545,392.7105410588117,553.3072082712251,291.1848497482803,111,720.0,720.0,2,"{""3534"": 35.72, ""3535"": 6.64, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 563.77, ""2383"": 343.99, ""2357"": 7.3, ""2370"": 352.75}","{""park_installs"": 239, ""park_blocked_attempts"": 28841, ""park_cleared_used"": 51, ""restart_park_wipes"": 148, ""park_cleared_lease_expired"": 36, ""park_install_blocked"": 4}"
dark_factory,P3-lease24h,1381,46.03333333333333,4419.375285630027,37.069146133065225,416.33660090188187,212.05973699434588,487.8328388863664,697.956891212927,132.49099828199545,409.6343518635363,440.33555004325177,299.1101309703453,102,720.0,720.0,2,"{""3534"": 33.83, ""3535"": 6.64, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 258.44, ""2383"": 325.79, ""2357"": 7.3, ""2370"": 165.64}","{""park_installs"": 216, ""park_blocked_attempts"": 28678, ""park_cleared_used"": 58, ""restart_park_wipes"": 148, ""park_install_blocked"": 2, ""park_cleared_lease_expired"": 1}"
dark_factory,P3-K5-lease8h,1303,43.43333333333333,17592.573041823372,35.9852712719308,404.8520371801985,169.42418762263986,500.5305039950212,716.9984189007017,153.51372760102814,436.5259718102383,419.1323107443715,205.47128911331956,161,720.0,720.0,5,"{""3534"": 23.81, ""3535"": 6.95, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 602.84, ""2383"": 261.13, ""2357"": 7.3, ""2370"": 74.82}","{""park_installs"": 1060, ""park_blocked_attempts"": 85990, ""park_cleared_used"": 79, ""restart_park_wipes"": 148, ""park_cleared_lease_expired"": 238, ""park_install_blocked"": 327}"
dark_factory,P4-backfill,1434,47.8,4076.8769915378093,39.01457982814975,425.1058926791309,231.90556823125078,548.5586074413061,718.522540042003,173.25110292343288,326.3940130372608,555.2646020636588,408.9698685478236,61,720.0,720.0,2,"{""3534"": 19.7, ""3535"": 6.64, ""3538"": 0.83, ""3076"": 0.0, ""3618"": 0.0, ""3060"": 419.49, ""2383"": 385.21, ""2357"": 22.42, ""2370"": 195.23}","{""park_installs"": 187, ""backfill_grants"": 156, ""park_blocked_attempts"": 660, ""park_cleared_used"": 36, ""restart_park_wipes"": 148}"
dark_factory,P4-backfill-safe,1416,47.2,5144.8303569539385,39.35517256495025,468.05744441504277,288.62676874436266,531.5794867654639,717.7430126154422,141.37698596128487,400.6162974956963,523.121842275189,479.68363593317065,72,720.0,720.0,2,"{""3534"": 55.15, ""3535"": 5.2, ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 395.6, ""2383"": 169.87, ""2357"": 7.3, ""2370"": 377.3}","{""park_installs"": 190, ""park_blocked_attempts"": 5807, ""park_cleared_used"": 32, ""restart_park_wipes"": 148, ""backfill_grants"": 130, ""park_install_blocked"": 5}"
dark_factory,P5-handoff,1344,44.8,7238.689110381537,37.02651339534256,502.75162207245484,282.0280199314488,574.8032393444279,715.8432694475518,153.96540069807241,461.91065485007215,500.6113393293486,543.048535246972,117,720.0,720.0,2,"{""3534"": ""NEVER (waited 93h)"", ""3535"": ""NEVER (not eligible)"", ""3538"": ""NEVER (not eligible)"", ""3076"": 0.0, ""3618"": 0.0, ""3060"": 491.79, ""2383"": 442.24, ""2357"": 71.01, ""2370"": 85.09}","{""park_installs"": 185, ""handoff_blocked_attempts"": 19202, ""park_blocked_attempts"": 48233, ""park_cleared_used"": 29, ""restart_park_wipes"": 148}"
reify,P0-current,867,28.9,4477.030834221111,0.0,147.9135966034396,57.39222720595187,216.12490510287518,695.8713318366474,61.3773761191633,197.59465981587024,127.66560139508029,125.00141087290952,51,720.0,720.0,2,"{""5743"": 113.41, ""5303"": 77.49, ""4956"": 449.83, ""5040"": 104.9, ""5069"": 399.64, ""4351"": 66.16, ""3465"": ""n/a""}","{""park_installs"": 157, ""park_blocked_attempts"": 2250, ""restart_park_wipes"": 137, ""park_cleared_used"": 10}"
reify,P1-no-parking,867,28.9,0.0,0.0,161.22533197224772,70.20053903943963,244.8179462971621,587.7550258584818,61.3773761191633,202.50343992189212,135.23724215267765,140.76637976520587,46,720.0,720.0,0,"{""5743"": 113.41, ""5303"": 77.49, ""4956"": 569.11, ""5040"": 104.8, ""5069"": 416.87, ""4351"": 168.27, ""3465"": ""n/a""}","{""restart_park_wipes"": 137}"
reify,P2-K5,826,27.533333333333335,16251.659310577115,0.0,151.8088071744475,61.73414761463137,229.73890295465787,708.245210254656,58.4891705014242,208.88357921678156,81.9122792400682,148.15580599143107,74,720.0,720.0,4,"{""5743"": 2.59, ""5303"": 77.49, ""4956"": 407.08, ""5040"": 104.9, ""5069"": 499.46, ""4351"": 66.16, ""3465"": ""n/a""}","{""park_installs"": 686, ""park_blocked_attempts"": 13377, ""park_install_blocked"": 1407, ""restart_park_wipes"": 137, ""park_cleared_used"": 21}"
