project,task_id,tier,install_t,end_t,duration_h,end_reason,n_modules,skip_count_at_install,owner_dispatched_during,reserved_mod_h,idle_reserved_mod_h,next_demand_gap_h,n_blocked_topskips_during,modules
dark_factory,921,medium,2026-04-24T07:42:10.290449+00:00,2026-04-24T07:43:42.655170+00:00,0.0257,used,1,6,0,0.026,0.000,0.544,0,fused-memory/src/fused_memory/reconciliation
dark_factory,943,medium,2026-04-24T07:45:01.341681+00:00,2026-04-24T08:16:20.173304+00:00,0.5219,used,6,6,0,3.131,2.610,0.740,0,fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/src/fused_memory/services;fused-memory/tests/test_durable_queue.py;fused-memory/tests/test_event_queue.py;fused-memory/tests/test_task_tools.py
dark_factory,944,medium,2026-04-24T08:17:38.088139+00:00,2026-04-24T09:00:43.905962+00:00,0.7183,used,6,6,0,4.310,3.438,0.169,0,fused-memory/src/fused_memory/server;fused-memory/tests/test_task_tools.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/src/orchestrator/workflow.py;orchestrator/tests/test_scheduler.py
dark_factory,955,medium,2026-04-24T09:01:46.723668+00:00,2026-04-24T09:10:53.495194+00:00,0.1519,used,2,6,0,0.304,0.153,0.652,0,orchestrator/src/orchestrator/workflow.py;orchestrator/tests/test_workflow_e2e.py
dark_factory,963,medium,2026-04-24T09:12:15.186126+00:00,2026-04-24T09:19:48.131361+00:00,0.1258,used,2,6,0,0.252,0.001,0.074,0,fused-memory/src/fused_memory/reconciliation;fused-memory/tests/test_harness.py
dark_factory,989,medium,2026-04-24T09:21:07.244023+00:00,2026-04-24T09:50:01.163243+00:00,0.4816,used,2,6,0,0.963,0.000,0.308,0,orchestrator/src/orchestrator/workflow.py;orchestrator/tests/test_workflow_e2e.py
dark_factory,993,medium,2026-04-24T09:51:05.403642+00:00,2026-04-24T10:25:27.205441+00:00,0.5727,used,2,6,0,1.145,0.573,0.643,0,fused-memory/src/fused_memory/server;fused-memory/tests/test_dead_letters_tool.py
dark_factory,1014,medium,2026-04-24T11:12:30.361011+00:00,2026-04-24T11:19:14.227246+00:00,0.1122,used,1,6,0,0.112,0.000,0.670,0,fused-memory/tests/test_task_interceptor.py
dark_factory,1015,medium,2026-04-24T11:19:15.128197+00:00,2026-04-24T12:04:41.708688+00:00,0.7574,silent_owner_dispatch_then_release,1,6,1,0.757,0.236,0.000,0,fused-memory/tests/test_task_interceptor.py
dark_factory,1029,high,2026-04-24T11:59:25.592469+00:00,2026-04-24T12:11:23.215354+00:00,0.1993,used,2,2,0,0.399,0.001,768.062,0,shared/src/shared/__init__.py;shared/tests/test_public_api.py
dark_factory,1016,medium,2026-04-24T12:12:38.969462+00:00,2026-04-24T12:28:00.089189+00:00,0.2559,used,6,6,0,1.535,0.571,18.355,0,fused-memory/src/fused_memory/config;fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py
dark_factory,1018,medium,2026-04-24T12:28:43.679864+00:00,2026-04-24T13:24:41.038851+00:00,0.9326,lease_expired,9,6,0,8.393,0.933,17.410,0,fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/tests/test_reconcile_stranded.py;orchestrator/tests/test_scheduler.py
dark_factory,1018,medium,2026-04-24T13:25:57.324191+00:00,2026-04-24T14:24:26.443121+00:00,0.9748,lease_expired,9,6,0,8.773,0.975,16.414,0,fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/tests/test_reconcile_stranded.py;orchestrator/tests/test_scheduler.py
dark_factory,1018,medium,2026-04-24T14:25:28.790171+00:00,2026-04-24T15:23:56.422645+00:00,0.9743,lease_expired,9,6,0,8.769,0.974,15.423,0,fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/tests/test_reconcile_stranded.py;orchestrator/tests/test_scheduler.py
dark_factory,1018,medium,2026-04-24T15:25:14.560202+00:00,2026-04-24T16:23:37.445729+00:00,0.9730,lease_expired,9,6,0,8.757,0.973,14.428,0,fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/tests/test_reconcile_stranded.py;orchestrator/tests/test_scheduler.py
dark_factory,1018,medium,2026-04-24T16:24:53.662039+00:00,2026-04-24T17:23:11.201383+00:00,0.9715,lease_expired,9,6,0,8.744,0.972,13.435,0,fused-memory/src/fused_memory/middleware;fused-memory/src/fused_memory/reconciliation;fused-memory/src/fused_memory/server;fused-memory/tests/test_bulk_reset_guard.py;fused-memory/tests/test_task_interceptor.py;orchestrator/src/orchestrator/harness.py;orchestrator/src/orchestrator/scheduler.py;orchestrator/tests/test_reconcile_stranded.py;orchestrator/tests/test_scheduler.py
